ISO1-BL	CanS-SI	OreR-PB1	w118
chr2L_135001	chr2L_530001	chr2L_15001	chr2L_510001
chr2L_1065001	chr2L_735001	chr2L_60001	chr2L_1195001
chr2L_1675001	chr2L_1215001	chr2L_65001	chr2L_1830001
chr2L_2010001	chr2L_1520001	chr2L_170001	chr2L_1885001
chr2L_2610001	chr2L_1655001	chr2L_315001	chr2L_2055001
chr2L_5145001	chr2L_1720001	chr2L_430001	chr2L_2305001
chr2L_5295001	chr2L_1785001	chr2L_475001	chr2L_2635001
chr2L_5650001	chr2L_1870001	chr2L_510001	chr2L_2900001
chr2L_5930001	chr2L_1900001	chr2L_585001	chr2L_2915001
chr2L_5995001	chr2L_2075001	chr2L_635001	chr2L_3640001
chr2L_6570001	chr2L_2900001	chr2L_1080001	chr2L_5655001
chr2L_6590001	chr2L_2905001	chr2L_1315001	chr2L_5710001
chr2L_7480001	chr2L_2925001	chr2L_1340001	chr2L_6135001
chr2L_7545001	chr2L_3000001	chr2L_1640001	chr2L_6315001
chr2L_7565001	chr2L_3140001	chr2L_1885001	chr2L_6595001
chr2L_8740001	chr2L_3325001	chr2L_1890001	chr2L_6610001
chr2L_9485001	chr2L_3430001	chr2L_2010001	chr2L_6715001
chr2L_9870001	chr2L_3720001	chr2L_2045001	chr2L_7550001
chr2L_10050001	chr2L_3730001	chr2L_2075001	chr2L_7615001
chr2L_10190001	chr2L_4005001	chr2L_2345001	chr2L_7615001
chr2L_11170001	chr2L_4145001	chr2L_2460001	chr2L_7760001
chr2L_11810001	chr2L_4240001	chr2L_2535001	chr2L_7950001
chr2L_12135001	chr2L_4240001	chr2L_2585001	chr2L_8325001
chr2L_13730001	chr2L_4270001	chr2L_2610001	chr2L_8955001
chr2L_13730001	chr2L_4295001	chr2L_2615001	chr2L_9525001
chr2L_14550001	chr2L_4325001	chr2L_2620001	chr2L_9615001
chr2L_14715001	chr2L_4635001	chr2L_2770001	chr2L_9685001
chr2L_15010001	chr2L_4745001	chr2L_2800001	chr2L_9845001
chr2L_15970001	chr2L_4915001	chr2L_2905001	chr2L_9995001
chr2L_17640001	chr2L_5000001	chr2L_2915001	chr2L_10180001
chr2L_17725001	chr2L_5105001	chr2L_3150001	chr2L_10745001
chr2L_18340001	chr2L_5120001	chr2L_3190001	chr2L_10750001
chr2L_18665001	chr2L_5195001	chr2L_3260001	chr2L_10940001
chr2L_19420001	chr2L_5605001	chr2L_3320001	chr2L_11320001
chr2L_19550001	chr2L_5625001	chr2L_3395001	chr2L_11690001
chr2L_19700001	chr2L_5635001	chr2L_3415001	chr2L_12155001
chr2L_20425001	chr2L_5635001	chr2L_3420001	chr2L_12320001
chr2L_20855001	chr2L_5720001	chr2L_3440001	chr2L_12490001
chr2L_21045001	chr2L_6145001	chr2L_3490001	chr2L_12705001
chr2L_21400001	chr2L_6885001	chr2L_3630001	chr2L_12940001
chr2L_21795001	chr2L_7005001	chr2L_4005001	chr2L_12950001
chr2L_22150001	chr2L_7575001	chr2L_4165001	chr2L_13530001
chr2L_22240001	chr2L_7595001	chr2L_4260001	chr2L_13555001
chr2L_22305001	chr2L_7620001	chr2L_4265001	chr2L_13565001
chr2L_22445001	chr2L_7675001	chr2L_4520001	chr2L_13935001
chr2R_2875001	chr2L_7790001	chr2L_4630001	chr2L_14245001
chr2R_2875001	chr2L_8105001	chr2L_4630001	chr2L_14360001
chr2R_2875001	chr2L_8650001	chr2L_4690001	chr2L_14460001
chr2R_2875001	chr2L_8775001	chr2L_4745001	chr2L_14785001
chr2R_3145001	chr2L_8910001	chr2L_4760001	chr2L_15000001
chr2R_3145001	chr2L_8955001	chr2L_4775001	chr2L_15050001
chr2R_5280001	chr2L_9090001	chr2L_4855001	chr2L_15535001
chr2R_5465001	chr2L_9380001	chr2L_4910001	chr2L_15760001
